open,high,low,close,volume,quote_volume,trades,close_datetime
63432.94,63456.97,63381.32,63381.33,97.60886,6190857.0886995,7140,2024-07-01 08:14:59.999000+02:00
63381.33,63384.0,63293.75,63382.0,122.94334,7787072.6311011,10194,2024-07-01 08:29:59.999000+02:00
63381.99,63420.0,63344.17,63362.01,170.25058,10789566.2308386,8030,2024-07-01 08:44:59.999000+02:00
63362.01,63464.74,63337.32,63404.0,135.80552,8607987.3228804,7636,2024-07-01 08:59:59.999000+02:00
63403.99,63432.0,63350.0,63432.0,122.13943,7742074.9500015,12297,2024-07-01 09:14:59.999000+02:00
63431.99,63432.0,63303.93,63313.73,83.38598,5283366.8542011,8189,2024-07-01 09:29:59.999000+02:00
63313.73,63362.91,63300.01,63334.87,142.37748,9016089.5351066,9108,2024-07-01 09:44:59.999000+02:00
63334.87,63362.91,63260.71,63277.84,138.94006,8794317.6179834,9442,2024-07-01 09:59:59.999000+02:00
63277.84,63314.99,63258.79,63260.01,118.85658,7521804.8147806,10367,2024-07-01 10:14:59.999000+02:00
63260.01,63294.0,63092.68,63117.84,262.19448,16560438.2795341,16765,2024-07-01 10:29:59.999000+02:00
63117.84,63124.0,62836.47,62890.0,485.07435,30549148.8358587,27403,2024-07-01 10:44:59.999000+02:00
62890.0,62989.22,62848.0,62923.91,522.76495,32895074.5572752,20792,2024-07-01 10:59:59.999000+02:00
62923.91,62997.98,62868.01,62886.13,181.46468,11420120.4886853,12923,2024-07-01 11:14:59.999000+02:00
62886.13,62920.0,62789.16,62840.4,286.38503,18000757.9063718,18117,2024-07-01 11:29:59.999000+02:00
62840.4,62945.74,62835.52,62878.0,121.80917,7661291.0912047,11849,2024-07-01 11:44:59.999000+02:00
62878.0,62970.0,62860.01,62938.97,141.5231,8904530.6358567,9432,2024-07-01 11:59:59.999000+02:00
62938.97,62977.99,62895.4,62902.57,212.06355,13346926.1091159,12952,2024-07-01 12:14:59.999000+02:00
62902.57,62940.0,62840.38,62872.0,124.55135,7832259.101212,9971,2024-07-01 12:29:59.999000+02:00
62872.0,62940.01,62781.05,62840.0,141.2962,8882376.3056264,12677,2024-07-01 12:44:59.999000+02:00
62840.0,62885.0,62805.92,62852.24,137.36511,8634120.3735604,10889,2024-07-01 12:59:59.999000+02:00
62852.24,62858.0,62709.71,62812.05,228.74387,14362109.2956714,14697,2024-07-01 13:14:59.999000+02:00
62812.04,62850.01,62702.0,62756.14,304.24851,19094099.9161083,15172,2024-07-01 13:29:59.999000+02:00
62756.14,62767.99,62663.3,62737.72,252.65336,15845405.5835458,14380,2024-07-01 13:44:59.999000+02:00
62737.72,62737.72,62593.07,62662.09,224.12049,14040036.5061882,14141,2024-07-01 13:59:59.999000+02:00
62662.09,62846.52,62641.99,62691.81,240.87566,15112592.6270808,14727,2024-07-01 14:14:59.999000+02:00
62691.81,62777.93,62681.02,62760.01,150.0251,9411264.8851522,10607,2024-07-01 14:29:59.999000+02:00
62760.01,62898.03,62734.0,62856.12,156.46185,9829012.5717904,12929,2024-07-01 14:44:59.999000+02:00
62856.12,62900.0,62804.01,62882.0,136.8373,8602471.5908086,12605,2024-07-01 14:59:59.999000+02:00
62882.0,62999.99,62800.0,62831.95,187.48921,11790229.8483045,17393,2024-07-01 15:14:59.999000+02:00
62831.95,62946.0,62681.35,62946.0,207.09844,12998735.1688759,19364,2024-07-01 15:29:59.999000+02:00
62945.99,63081.11,62678.22,62705.99,428.30324,26935780.9888621,29353,2024-07-01 15:44:59.999000+02:00
62705.99,62751.65,62497.2,62685.27,503.88043,31552403.675923,31077,2024-07-01 15:59:59.999000+02:00
62685.27,62900.0,62610.74,62624.77,449.36737,28202225.8463927,34504,2024-07-01 16:14:59.999000+02:00
62624.76,62870.0,62610.35,62832.01,336.53595,21122345.1309107,27969,2024-07-01 16:29:59.999000+02:00
62832.01,62944.0,62770.02,62848.01,360.41704,22654820.6196036,21334,2024-07-01 16:44:59.999000+02:00
62848.01,62881.91,62782.23,62826.02,279.47769,17557454.1199392,22205,2024-07-01 16:59:59.999000+02:00
62826.02,63070.11,62815.63,63030.76,445.91846,28068455.9387529,19015,2024-07-01 17:14:59.999000+02:00
63030.76,63030.76,62826.0,62944.69,217.58742,13696265.9301588,14591,2024-07-01 17:29:59.999000+02:00
62944.69,63011.61,62870.51,62934.27,189.63787,11938850.283206,13057,2024-07-01 17:44:59.999000+02:00
62934.27,63166.11,62934.26,63132.9,224.79307,14174689.1961949,14687,2024-07-01 17:59:59.999000+02:00
63132.9,63338.12,62966.77,63282.0,411.97177,26021343.3752619,28741,2024-07-01 18:14:59.999000+02:00
63282.0,63318.99,63129.82,63183.42,241.7162,15285985.8968974,16953,2024-07-01 18:29:59.999000+02:00
63183.42,63315.0,63140.89,63180.0,453.29424,28664806.987385,16651,2024-07-01 18:44:59.999000+02:00
63180.0,63193.99,63090.06,63119.33,217.99164,13762958.5557621,11582,2024-07-01 18:59:59.999000+02:00
